asset,year,trigger,entry,candidate,exit_config,n_entries,n_trades,entries_per_month,fill_rate,gate_pass,pf,wr,exp_r,avg_win,avg_loss,total_r,max_dd,freq,be,reason_stop,reason_timeout
BTCUSDT,2022,D_range_breakout,C_market_close,D_range_breakout + C_market_close,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",355,206,29.47,0.58,False,0.772,25.2,-0.126,1.689,-0.738,-25.88,-15.57,17.1,0.0,170,36
BTCUSDT,2022,A_sweep_bos,A_pullback_50,A_sweep_bos + A_pullback_50,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",17,17,1.6,1.0,False,10.293,41.2,0.824,2.216,-0.151,14.01,-0.53,1.6,0.0,15,2
ETHUSDT,2022,D_range_breakout,C_market_close,D_range_breakout + C_market_close,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",363,200,30.31,0.551,False,1.148,33.0,0.071,1.671,-0.717,14.19,-5.97,16.7,0.0,165,35
ETHUSDT,2022,A_sweep_bos,A_pullback_50,A_sweep_bos + A_pullback_50,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",15,15,1.4,1.0,False,15.481,53.3,1.273,2.552,-0.188,19.1,-0.52,1.4,0.0,14,1
SOLUSDT,2022,D_range_breakout,C_market_close,D_range_breakout + C_market_close,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",378,205,31.53,0.542,False,0.835,29.8,-0.084,1.429,-0.725,-17.21,-13.27,17.1,0.0,172,33
SOLUSDT,2022,A_sweep_bos,A_pullback_50,A_sweep_bos + A_pullback_50,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",12,12,1.0,1.0,False,14.825,66.7,1.342,2.158,-0.291,16.1,-0.53,1.0,0.0,9,3
BTCUSDT,2023,D_range_breakout,C_market_close,D_range_breakout + C_market_close,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",313,185,26.39,0.591,False,1.25,29.2,0.134,2.291,-0.755,24.77,-6.84,15.6,0.0,158,27
BTCUSDT,2023,A_sweep_bos,A_pullback_50,A_sweep_bos + A_pullback_50,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",6,6,0.8,1.0,False,20.689,50.0,1.243,2.613,-0.126,7.46,-0.19,0.8,0.0,5,1
ETHUSDT,2023,D_range_breakout,C_market_close,D_range_breakout + C_market_close,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",294,191,24.63,0.65,False,0.676,20.4,-0.205,2.096,-0.796,-39.24,-19.11,16.0,0.0,167,24
ETHUSDT,2023,A_sweep_bos,A_pullback_50,A_sweep_bos + A_pullback_50,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",4,4,,1.0,False,,,,,,,,,,0,0
SOLUSDT,2023,D_range_breakout,C_market_close,D_range_breakout + C_market_close,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",375,215,31.22,0.573,False,0.944,29.3,-0.029,1.683,-0.739,-6.31,-16.97,17.9,0.0,175,40
SOLUSDT,2023,A_sweep_bos,A_pullback_50,A_sweep_bos + A_pullback_50,"Rama B — Trigger/Entry (Bias=A/Gestión V3-A ancla/atr_mult=1.5/atr_period=14/max_hold=20/risk=0.005 fijos; sesión=dcv1_activo_15h única; Trigger y Entry variables, sin celda D_range_breakout + A_pullback_50 — incompatibilidad estructural, no interacción evaluable)",6,6,0.5,1.0,False,50.935,66.7,0.825,1.262,-0.05,4.95,-0.03,0.5,0.0,4,2
